Year-Month,date,tc,rh,ws,wd,p,o3,no,no2,nox,co,pm10,pm25,aqs,date_only
2018-11,0.0,100.0,100.0,0.1388888888888889,0.1388888888888889,0.1388888888888889,4.305555555555555,4.305555555555555,4.305555555555555,4.305555555555555,4.305555555555555,100.0,11.38888888888889,0.0,0.0
2018-12,0.0,100.0,100.0,39.6505376344086,39.6505376344086,39.784946236559136,44.354838709677416,42.473118279569896,42.473118279569896,42.473118279569896,42.473118279569896,100.0,39.91935483870967,0.0,0.0
2019-01,0.0,100.0,100.0,66.71140939597315,66.71140939597315,66.97986577181209,69.79865771812081,68.32214765100672,68.32214765100672,68.32214765100672,68.32214765100672,100.0,67.51677852348993,0.0,0.0
2019-02,0.0,100.0,100.0,0.4464285714285714,0.4464285714285714,0.5952380952380952,5.5059523809523805,4.613095238095238,4.613095238095238,4.613095238095238,4.761904761904762,100.0,0.5952380952380952,0.0,0.0
2019-03,0.0,100.0,100.0,0.0,0.0,0.13440860215053765,5.241935483870968,5.64516129032258,5.64516129032258,5.64516129032258,5.913978494623656,100.0,0.5376344086021506,0.0,0.0
2019-04,0.0,100.0,100.0,0.0,0.0,0.0,4.166666666666666,4.722222222222222,4.722222222222222,4.722222222222222,4.444444444444445,100.0,0.0,0.0,0.0
2019-05,0.0,100.0,100.0,0.13440860215053765,0.13440860215053765,0.2688172043010753,4.838709677419355,5.241935483870968,5.241935483870968,5.241935483870968,4.704301075268817,100.0,0.2688172043010753,0.0,0.0
2019-06,0.0,100.0,100.0,5.0,5.0,5.694444444444445,17.083333333333332,17.083333333333332,17.083333333333332,17.083333333333332,17.083333333333332,100.0,14.86111111111111,0.0,0.0
2019-07,0.0,100.0,100.0,0.0,0.0,0.0,4.435483870967742,21.102150537634408,21.102150537634408,21.102150537634408,4.301075268817205,100.0,0.0,0.0,0.0
2019-08,0.0,100.0,100.0,0.0,0.0,0.0,4.301075268817205,4.301075268817205,4.301075268817205,4.301075268817205,4.435483870967742,100.0,0.0,0.0,0.0
2019-09,0.0,100.0,100.0,0.0,0.0,0.0,4.166666666666666,17.36111111111111,17.36111111111111,17.36111111111111,4.166666666666666,100.0,2.083333333333333,0.0,0.0
2019-10,0.0,100.0,100.0,22.58064516129032,22.58064516129032,22.71505376344086,25.940860215053764,68.27956989247312,68.27956989247312,68.27956989247312,50.806451612903224,100.0,22.983870967741936,0.0,0.0
2019-11,0.0,100.0,100.0,0.0,0.0,0.0,4.444444444444445,4.444444444444445,4.444444444444445,4.444444444444445,4.305555555555555,100.0,0.0,0.0,0.0
2019-12,0.0,100.0,100.0,0.0,0.0,0.0,4.973118279569892,5.10752688172043,5.10752688172043,5.10752688172043,5.376344086021505,100.0,0.0,0.0,0.0
2020-01,0.0,100.0,100.0,0.2688172043010753,0.2688172043010753,0.2688172043010753,5.779569892473118,5.779569892473118,5.779569892473118,5.779569892473118,5.10752688172043,100.0,0.2688172043010753,0.0,0.0
2020-02,0.0,100.0,100.0,0.14367816091954022,0.14367816091954022,81.46551724137932,10.488505747126437,8.764367816091955,8.764367816091955,8.764367816091955,7.614942528735632,100.0,0.14367816091954022,0.0,0.0
2020-03,0.0,100.0,100.0,0.0,0.0,56.451612903225815,4.435483870967742,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,100.0,0.0,0.0,0.0
2020-04,0.0,100.0,100.0,0.0,0.0,0.0,4.305555555555555,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,100.0,0.0,0.0,0.0
2020-05,0.0,100.0,100.0,0.2688172043010753,0.2688172043010753,0.2688172043010753,4.838709677419355,6.854838709677419,6.854838709677419,6.854838709677419,5.10752688172043,100.0,0.2688172043010753,0.0,0.0
2020-06,0.0,100.0,100.0,0.0,0.0,0.0,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,100.0,0.0,0.0,0.0
2020-07,0.0,100.0,100.0,0.0,0.0,0.0,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,100.0,0.0,0.0,0.0
2020-08,0.0,100.0,100.0,0.0,0.0,0.0,34.946236559139784,13.440860215053762,13.440860215053762,13.440860215053762,4.166666666666666,100.0,27.419354838709676,0.0,0.0
2020-09,0.0,100.0,100.0,0.0,0.0,0.0,4.166666666666666,15.138888888888888,15.138888888888888,15.138888888888888,4.166666666666666,100.0,0.0,0.0,0.0
2020-10,0.0,100.0,100.0,0.0,0.0,0.0,4.166666666666666,84.54301075268818,84.54301075268818,84.54301075268818,10.080645161290322,100.0,0.0,0.0,0.0
2020-11,0.0,100.0,100.0,0.0,0.0,0.1388888888888889,5.138888888888888,85.13888888888889,85.13888888888889,85.13888888888889,14.444444444444443,100.0,0.1388888888888889,0.0,0.0
2020-12,0.0,100.0,100.0,0.13440860215053765,0.13440860215053765,0.13440860215053765,4.435483870967742,17.338709677419356,17.338709677419356,17.338709677419356,42.06989247311828,100.0,0.5376344086021506,0.0,0.0
2021-01,0.0,100.0,100.0,0.0,0.0,0.0,5.913978494623656,20.161290322580644,20.161290322580644,20.161290322580644,100.0,100.0,0.0,0.0,0.0
2021-02,0.0,100.0,100.0,0.0,0.0,0.0,4.613095238095238,5.059523809523809,5.059523809523809,5.059523809523809,32.589285714285715,100.0,0.0,0.0,0.0
2021-03,0.0,100.0,100.0,0.0,0.0,0.0,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,100.0,0.8064516129032258,0.0,0.0
2021-04,0.0,100.0,100.0,0.0,0.0,0.0,4.166666666666666,4.305555555555555,4.305555555555555,4.305555555555555,4.166666666666666,100.0,3.3333333333333335,0.0,0.0
2021-05,0.0,100.0,100.0,0.0,0.0,0.0,4.166666666666666,4.301075268817205,4.301075268817205,4.301075268817205,4.166666666666666,100.0,0.0,0.0,0.0
